line,level,rule
3,error,DL4000
6,info,DL3009
7,warning,DL3008
7,info,DL3015
8,warning,DL3008
8,info,DL3015
37,info,DL3009
38,warning,DL3008
38,info,DL3015
39,warning,DL3008
39,info,DL3015
40,warning,DL3008
40,info,DL3015
41,warning,DL3008
41,info,DL3015
42,warning,DL3008
42,info,DL3015
43,warning,DL3008
43,info,DL3015
44,warning,DL3008
44,info,DL3015
45,warning,DL3008
45,info,DL3015
46,warning,DL3008
46,info,DL3015
47,warning,DL3008
47,info,DL3015
48,warning,DL3008
48,info,DL3015
50,warning,DL3008
50,info,DL3015
54,warning,DL3008
54,info,DL3015
56,warning,DL3013
56,warning,DL3042
57,warning,DL3013
57,warning,DL3042
60,warning,DL3042
