line,level,rule
2,warning,DL3006
4,error,DL4000
6,warning,DL3008
6,info,DL3009
6,info,DL3015
10,info,SC2016
16,style,SC2006
16,warning,DL3008
16,info,DL3015
16,warning,DL4001
16,warning,DL4006
31,warning,DL3008
31,info,DL3015
37,warning,DL3013
37,warning,DL3042
39,info,SC2028
44,warning,DL3013
44,warning,DL3042
46,warning,DL3013
46,warning,DL3042
48,warning,DL3008
48,info,DL3009
48,info,DL3015
54,warning,DL3008
55,warning,DL3013
55,warning,DL3042
58,warning,DL3003
62,warning,SC2174
65,warning,DL3013
65,warning,DL3042
