line,level,rule
14,warning,DL4001
14,warning,DL4006
29,warning,DL3008
29,info,DL3015
35,warning,DL3013
35,warning,DL3042
37,info,SC2028
42,warning,DL3013
42,warning,DL3042
44,warning,DL3013
44,warning,DL3042
46,warning,DL3008
46,info,DL3009
46,info,DL3015
52,warning,DL3008
53,warning,DL3013
53,warning,DL3042
56,warning,DL3003
60,warning,SC2174
63,warning,DL3013
63,warning,DL3042
3,error,DL4000
5,warning,DL3008
5,info,DL3009
5,info,DL3015
9,info,SC2016
14,style,SC2006
14,warning,DL3008
14,info,DL3015
